smiles
OS(C)(=O) =O .Cl .Cl .Cl .Cl 3) [C@H]( CC CNC(=N)N )NC(=O) [C@H](CO) NC(=O)C NC(=O)C NC(=O)[C@H](C c4ccc(O)cc4) NC(=O)[C@H](Cc4ccccc4) NC(=O)[C@H](Cc4ccccc4) NC(=O) [C@@H](NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4)c4ccccc4) C(C) O) C(=O)N[C@@H](CCCNC(=N)N)C(=O)N [C@@H](CC (N) =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .O= S(=O) (O) O 1 I ] (C) [C@@H]( CC(C) C) OCO 3 )CC 1 .Cl c2cc(C(F)(F)F) cc(C(F)(F)F) c1 =O .Cl [nH]c( =O) C(=O)N[C@@H](CC (N) =O) C(=O)N[C@@H](CC (N) =O) C(=O)N[C@@H](CC (N) =O) c1 =O .Cl c(N)n Cl) cc c1 =O .Cl Nc1ccc( I) cc1 CC1 (C) [C@@H]( CC(C) C) [C@@H]3 CC1 ( c2ccc( Cl) O 1 .Cl (O)( CC(=O)O) [C@@H]( CC(C) C) OCO 3 )CC 1 .Cl c3ccccc3) cc c1 =O .Cl .Cl c4
OC [C@H](C) O 1 .Cl .Cl c4ccc( Cl) cc1) c1cc c2c( c1 - c1ccc( ) c(OC) cc23) c(Cl) c1 ) ( c6 ccc( F) cc 6 F) 2(C) [C@H]1 [C@@H]( N )CC CNC(=N)N ) cc1 . [C@@H](C) C3 =C . CS(=O)(=O) O 1 (C) O 1 .Cl CC(=O)O) c1cc( C(F)(F)F) c1 F) cc 6 F) cc c1 F) [C@H]1 c1ccc( F) c1 F C1 =O .Cl .Cl .Cl cc1) c1cc( C(F)(F)F) c1 =O .Cl .Cl c - 1 I ] ) c1cccc( Cl) c1 3) n1 2 ( C c4cccc (F) [C@@H](O) C [C@]2(C) C(=O) C(C)(C)[C@@H](O) CC(=O)O 1 =C 2 [C@H](OC(C)=O) C cn 1 I ] (C) c4ccccc34) n1 2 [C@H](OC(C)=O) C [C@@H]1C [C@@H]2O[C@]2(C)CCC[C@H](C) [C@@H]1 c1ccc( Cl) c1 F) N 3 )CC 1 I ] (C) [C@@H](
OS(C)(=O) =O .Cl .Cl .Cl .Cl c4 ncc( Br) cc4 CC C1 =O =O) (O) C(=O) C1 (=O) n2 C 4) CC(=O) N )CC 1 I ] ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) cc3) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) CC(=O) N(C) [C@@H]( O 1 .Cl .Cl .Cl CCN(C) CC4) [C@@H]( C(C)C) cs 1 .Cl c4ccc( Cl) O 1 .Cl .Cl c3ccc( F) cc 6 ) c1 =O .Cl 3) c2 )CC 1 I ] (C) CC(=O) C=C [C@] 4 CCN( C 3) n1 2 [C@H](OC(C)=O) C [C@]2(C) C(=O) C(C)(C)[C@@H](O) CC(=O)O 1 .Cl .Cl c1 F c(C) n( C3 =O) C(=O)N[C@@H](CC (N) ( C#N) c5 cccc 1C 1 =C . CS(=O)(=O)
C(=O) C2 C( C(=O)O) [C@H]3 CC [C@@H]2O 3 )CC 1 .Cl [C@@H]2O 3 )CC 1 I ] ) ( (=O) [O-] C [C@@H]3 [C@@H](OC) [C@@H]( C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) c(Cl) cn 2) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] ) c1 F) cc1) c1cc( C(F)(F)F) c1 - 2 ( c1ccc( F) c(=O) [nH] 1 .Cl C(C)C) C(=O)N ( C [C@@H]2 C [C@@H](C) C(=O) CO C( C [C@]2(C) [C@@H]( C(C)C) cs 1 .Cl s2) NC(=O)C 4 CCOC [C@@H] 4C) n c12 .O=C( O)CC (O)( CC(=O)O) ( C [C@@H]2 C1 =O .Cl 4 CCOC [C@@H] 4C) n c12 .O=C( O)CC (O)( CC(=O)O) C(=O)O C2 =O) c1 Cl) O 1 .Cl c4 n 5
OS(C)(=O) =O .Cl =O .Cl .Cl c4 [C@H] 6 ) NC(=O) C[C@@] 2 c2ccc( Cl) cc4 Cl) O 1 .Cl F 3 )C(=O)N 1 N C( C O) CO C( C [C@]2(C) [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .O= S(=O) (O) O 1 ( c6 ccc( F) cc2 4 CCN( C S c1cc c2c( c1 =O .Cl .Cl .Cl c s2) n [C@@H] 4C) n c32) CC1 ( CO 1 =C 2 [C@H](OC(C)=O) C n c32) c1 =O .Cl 4 (C) [C@@H]( C(C)C) C(=O)N (C) (N) =O) c1 F [C@@H]2O 3 2 [C@H]1 c1ccc( F) CCC C [C@]2(C) [C@@H]( CCCC NC(=O) 3) n1 2 C(=O) CO 1 .Cl .Cl c3ccccc3) cc2) c1
OS(C)(=O) =O .Cl c3ccccc3) C(=O)O 3) cc2) CC1 ( C 3) C2 .Cl c4 c s2) o 1 CC C1 =O .Cl .Cl c3ccc( N C( C O) CO C( C S c1ccc( F) cc1 . [C@@H](C) C3 =C . CS(=O)(=O) O 4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl 4 (C) [C@@H]( C) nc2 )CC 1 .Cl c3ccc( F) [C@H]1 C(=O)O [C@@H] 4 (C) [C@H]3 [C@@H](O) C [C@]2(C) [C@@]1 (O) O 1 .Cl c4 [C@H]3 c4 C(=O)N (C) (N) =O) c1 =O .Cl .Cl .Cl .Cl .Cl c3cccc ( c2ccc( Cl) c1 =O .Cl c3ccccc3) cc 6 ) c(- c2ccc( Cl) O 1 .Cl c2cc(C(F)(F)F) cc(C(F)(F)F) c1 =O .Cl 3) cc1 F C [C@@H]3 C S [C@H](CO) [C@@H](O)[C@H](O) [C@H]3 c4 ncc( Cl)
CCO c1 =O .Cl .Cl .Cl cnc3cc( 2) c1 ) cc3 4) - c1 =O .Cl c12 .O=C( O)CC (O)( CC(=O)O) C(=O)O C O) C(=O)N[C@@H](CCCNC(=N)N)C(=O)N [C@@H](CC (N) =O) C(=O)O C [C@]2(C) O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 1 ( c1ccc( O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I =O) c1 Cl) c1 F cs 1 .Cl .Cl I ] (C) [C@@]3 (F) c4) n 4) c(Cl) cn 1 .Cl 1) [C@H]1 c1cccc( Cl) O 5) C2) F) cc 6 Cl) O 1 I ] ) c1 =O .Cl .Cl .Cl [O-]) C 3) c2 2 CCC( [C@H]3 [C@@H](O) [C@H]1 c1cccc( Cl) O 1 .Cl .Cl [C@@H]1 c1ccc( F) c2cn c( C2 CC ) c1 Cl) O 1 .Cl c4 CCC NC(=O)C
OS(C)(=O) =O .Cl 6 ) C1 .O= S(=O) (O) O [C@H]3 O[C@H]( CC [C@@H]1 O 1 =C . CS(=O)(=O) O 1 .Cl .Cl c3ccc( N C( C O) CO C( c2ccc( Cl) O [C@H]3 CC OCC 3) C2 =C( c2ccc(N) cc2) CC1 (C) (N) ( CC(=O)O) OCC 3) c2 1 .Cl c4 C(=O) CO 1 .Cl .Cl .Cl c4 Br) c1 F) cc2 cc( - 2 [C@H]1 c1n c1 ) c1 F) c1 =O .Cl .Cl .Cl c4 cc( Cl) ncc( Cl) c1 c(Cl) cn 1 .Cl .Cl .Cl 4 )C(=O)N C2 =O) c3) c1 F) [C@H]1 C(=O)O [C@H]1 C(=O)O 3 )CC 1 .Cl cc(C(F)(F)F) c1 F) cn 1 .Cl c2cc(C(F)(F)F) n 4) CC(=O) Cl) c1 F) cn 1 .Cl c2cc(C(F)(F)F) cc(C(F)(F)F) c1 F) cc2 [C@@H]2O 3
OS(C)(=O) =O .Cl CO)CO) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 .Cl 4 (C) [C@@]3 (F) [C@@H](O) C [C@]2(C) [C@@]1 (O) C(=O) CO 1 CCCC1 )C(=O)N 1 N C( C [C@]2(C) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) cc23)c1 .Cl c3ccccn3) [C@H]( C(=O)N[C@@H](C c2ccccc2) C[C@H](O) CN ) c1 =O .Cl .Cl [C@H](NC(=O) [C@H](N) c3ccc( C(=O)N[C@@H](CCC(=O)O) C(=O)O) C(=O)O) 4) cc3 4) CC(=O) C=C 1 .Cl .Cl cc1) c1cc( C(F)(F)F) c1 F c(N) c1 ) c1 F o 1 .Cl [C@H]( C3 =O) c1 =O .Cl [C@@H]2O[C@]2(C)CCC[C@H](C) [C@@H]1 4 CCN( C [C@]2(C) C(=O) CO )CC 1 I ] (C) (N) ( c2ccc( Cl) O 1 .Cl .Cl .Cl n c(C) n( C3 =O) C(=O)N[C@@H](CC (N) ( c2ccc( Cl) c1 3) n1 2 C(=O) CO
C [C@@H]2 C S [C@H](CO) O2) c(=O) n1 )N N c1cn cc n1 2 F cc(C(F)(F)F) c1 F) cc3 4) CC(=O) C [C@@H]3 [C@@H](OC) [C@@H]( C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O [C@@H](CC 2) c1 =O .Cl C(C)C) cc1 [C@@H]2O 3 )CC 1 .Cl c4 ncc( [C@@] (C) (N) ( Cl) c1 F C(=O)N[C@@H](CC (N) =O) c1 Cl) O 1 I ] ) c1 ) c2ccc( Cl) c1 Cl) cc1) c1cc c2c( c1 =O .Cl [C@H](NC(=O) [C@H](N) c3ccc( F) cc 6 ) cc c12 .O=C( O)CC (O)( CC(=O)O) [C@@H]3 C [C@@H]2 C .O=C( O)CC (O)( CC(=O)O) C(=O)O C( C 2CCCC 2) n c(C) cccc ( C 4) c(Cl) cn 2) c1 Cl) c1 F) cc3 o c1ccc(
OS(C)(=O) =O .Cl =O .Cl .Cl c4 [C@H](CO) NC(=O)[C@H](C c4ccc(O)cc4) NC(=O) 4) cc3) n n1 2 C(=O) CO 1 .Cl CC(=O)O) C(=O)O OCC 3 c2) cn 1 .Cl c3ccc( F) c1 =O .Cl [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) c(Cl) O 1 .Cl =S) (C) [C@@H]( C(C)C) n c(C) cccc 1C 1 ( c1ccc( F) cc2 1 .Cl CCN(C) CC4) cc 6 cn 1 I ] (C) (C)C) cccc3 F) cc1 n1 2 C(=O) CN ( c2ccc( Cl) O C(=O)O) [C@@H](C) c4 [nH] 1 .Cl c3ccccc3) cc c1 =O .Cl c3ccccc3) C(=O)O C2 CC OCC )CC 1 I ] (C) (C)C) cccc3 nc2 1 .Cl .Cl CC(=O)O) O 1 .Cl n c32) CC1 ( c2ccc( Cl) c1 F Cl) O 1 .Cl c4
OS(C)(=O) =O .Cl c3ccccc3) C(=O)O C2) cc1 n( C(C)C) c5 c4) n3) nc2 )CC 1 I ] ) ( c6 ccc( F) cc 6 Cl) O 1 .Cl F (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) (N) ( c2ccc( Cl) c1 =O .Cl [nH]c( =O) ncn 3 )CC 1 I ] (C) (N) ( CC(=O)O) c1 F) cc1) c1cc( C(F)(F)F) cc(C(F)(F)F) c1 =O .Cl F (N) .Cl .Cl .Cl 4 (C) (N) ( C#N) c5 cccc n c4) n c32) C1 CCCC C1 =O .Cl [C@H]1 c1ccc( F) c(- c2cc [nH] 1 I ] (C) [C@H]3 c4 c2ccc( Cl) c1 C(=O)O) [C@H]3 O[C@H]( CC ) c1 =O
OS(C)(=O) =O .Cl S(=O) (O) O (=O) [O-] C 4) cc3) n 5 )CC4) c4ccccc3 4 )C(=O)N C2 =O) c2ccccc2 1 .Cl s2) C(C)C) O 1 CCCC1 =O .Cl .Cl .Cl .Cl CCC [C@H]3 C(=O)N (C) CC(=O) N(C) [C@@H]( C(C)C) C(=O)O [C@@H]2 C) c(N) c1 =O .Cl .Cl [C@H](NC(=O) [C@H](N) c3ccc( O) n1 2 C(=O) c2cn c - c1ccc( F) (C) [C@@H]( [C@H](C) C(F)(F)F) cc(C(F)(F)F) c1 4) c(Cl) cn 1 .Cl .Cl .Cl .Cl F NC(=O)C C#N) c5 cccc 1C 1 .Cl 4 CCN( C [C@@H]2 C C( C [C@@H]2 C1 CCC(=O)N CCCC C( C )N O 1 =C . CS(=O)(=O) O 1 .Cl .Cl .Cl c2ccc( Cl) c1 =O .Cl c4 ) c(OC) n2 Cl) O C2 =O) c1 F) c1 ) cn 1 .Cl 4
OS(C)(=O) =O .Cl .Cl .Cl .Cl c4 Cl) O)CC (O)( CC(=O)O) C(=O)O [C@H]1 c s2) C(C)C) C(=O) CO 1 .Cl 1 ( [C@@H]3 [C@@H](OC) [C@@H]( C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) (N) ( c2ccc( Cl) c1 F) cc2 4 CCN( C )C(=O)N C2 =O) c3ccccn3) cc2) c1 =O .Cl F [C@@H]1C [C@@H]2O[C@]2(C)CCC[C@H](C) [C@@H]1 c1ccc( F) n1 2 C(=O) CO 1 I ] (C) (N) =O)C(=O)N[C@@H](C [C@@H] 4 CCN( C [C@]2(C) C(=O) CO C( C ) c(- c2cc c3 cc(F) cn 1 N )CC 1 .Cl C2) c2ccccc2 1 .Cl c4 cc3 - c1ccc( F) c1 F) cc c1 F 3 )CC 1
OS(C)(=O) =O .Cl .Cl .Cl .Cl c4 6 4) c(Cl) c3)c2cc1NC(=O)/C=C/C N(C) CCN(C) C 3) n1 C2 CC c2ccc( Cl) cc1) C1 c2c( c1 c(C) =O)C 2 =O .Cl .Cl .Cl .Cl .Cl .Cl 3) cc2) CC [C@@H]1 C(=O)N[C@@H](CCC(=O)O) C(=O)O) / C(=O)O)C(C)(C) CC [C@@H]1 c1 =O .Cl .Cl F [C@@H]2O 3 )CC 1 .Cl C2) c2ccccc2 1 I ] (C) (N) ( c2ccc( Cl) O 1 I ] ) c1 =O .Cl .Cl .Cl 1) [C@H]1 c1cccc( Cl) O [C@H]3 O[C@H]( CC [C@@H]1 c1 ) CC [C@@H]1 O [C@@H](CC [C@H] 6 ) ( C#N) c5 cccc c1 =O .Cl ) n1) c1ccc( F) cc [C@]2(C) C(=O) CO C( C [C@@H]2O[C@]2(C)CCC[C@H](C) [C@H](O) C1 =O .Cl n 4) c(Cl) cn 1 CCCC1 =O .Cl 3) cn 1 .Cl n
OS(C)(=O) =O .Cl 3)OCO4)cc(OC)c1 OC c2ccccc2 1 .Cl c3 C(=O)O [C@@H]2 C1 =O .Cl .Cl c4 c2 3 )CC 1 I ] (C) (N) (C) [C@@H]( Cl) ncn c2 ) c1 =O ncc( cc [C@@H](O 3 )CC 1 =C . CS(=O)(=O) O N(C) [C@@H]( O 1 .Cl C(C)C) cc1 [C@H](C) C(F)(F)F) c1 =O .Cl .Cl .Cl .Cl .Cl c4 n n2 c1n c(C) cccc 1C 1 CCC( [C@H]3 c4 ncc( Br) Cl 2 CCC( [C@H]3 c3ccc( F) cccc3 nc2 )CC 1 .Cl . CS(=O)(=O) O 1 .Cl .Cl .Cl .Cl .Cl .Cl [C@@H]2O 3 )CC 1 .Cl .Cl c4 ncc( Cl) cc( Cl) cc( Cl) c1 =O .Cl c4 [nH] 1 I ] (C) (N) ( C 4) c(Cl) cn 2) C3 CC OCC 1) [C@H]1 c1cccc(
[C@@H](O) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 =C C2 =C( c3 4 (C) (N) c6 ccc( F) cc 6 ) ( CO 1 3 )C(=O)N 1 N C( C O) CO C( C n c(N) c1 Cl) O c3ccc( c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 CCN 2 c1cccc( Cl) c1 F) c(=O) [nH] 1 .Cl ) cn 1 I ] (C) (N) ( C [C@@]1 (O) O 1 .Cl 6 2) C3 CC OCC 3) C2 CC OCC 3) n1 2 C(=O) CN 2 [C@H](OC(C)=O) C [C@@H]3 [C@@H](C) C(=O) CO 1 I ] (C) (N) ( c2ccc( Cl) O 1 .Cl (O)( CC(=O)O) O 1 .Cl ) cc 6 cn 1 .Cl 4 (C) (N) ( - 1 I
OS(C)(=O) =O .Cl =O .Cl .Cl ( CC(=O)O) n2 CC1 (C) [C@@]3 (F) [C@@H](O) C [C@]2(C) [C@@]1 (O) C(=O) CO 1 CCCC1 )C(=O)N 1 N C( C O) CO C( C [C@]2(C) [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) [C@H]3 [C@@H](O) [C@@H]2 C1 =O .Cl .Cl .Cl CCN(C) CC4) [C@@H]( C(C)C) cs 1 =C . CS(=O)(=O) O 1 I ] (C) [C@@H]( CCC(=O)N [C@@H](CC (N) ( c6 ccc( F) c1 =O .Cl .Cl c4 6 cn 2) [C@H]1 c1cccc( Cl) O [C@H]3 OC(=O) C( C [C@]2(C) [C@@]1 (O) O 1 .Cl F c1 F) cc c1 F) -c2cc n 5 )CC4) c4ccccc3 4 CCOC [C@@H] 4C) n 3 )CC 1
OS(C)(=O) =O .Cl .Cl .Cl 6 [C@@H](O 3) CC4) c(OC) cc23) c(Cl) ccc( F)c1 Cl 2 C(=O) CO 1 .Cl )C=CCN6CC[C@] 43[C@@H]6 5) C2) C1 =O 5) C2) C1 CCC(=O)N [C@@H]( O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O [C@H]3 ( O 1 .Cl .Cl c4ccc( C(=O) CO 1 .Cl c2cc(C(F)(F)F) cc(C(F)(F)F) c1 =O .Cl c4 c( C2 CC 2) CC1 ( c6 ccc( F)c1 Cl c1 =O .Cl .Cl .Cl F c1 F) cccc3 nc2 1 . CS(=O)(=O) O [C@H]3 [C@@H](O) C C c4cccc C(=O)N ( c2ccc( Cl) O 1 I ] ) cn 1 . CS(=O)(=O) O 1 .Cl ) c1 F) cc c1 F c2ccccc2 1 C(C) n1 2 C(=O) CO 1 CCCC1 =O .Cl c2ccc( Cl) ncc( Cl) c1 Cl)
[C@@H](O) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 =C . c4 ncc( Cl) cc n n2 C 3) n1 )N O 1 .Cl .Cl C#N) c1ccc( F) cc 6 F) c3ccccc3 c12 .O=C( O)CC (O)( CC(=O)O) CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 =C 2 (O) O 1 I ] (C) (C)C) cccc3 C 3) n1 2 CC OCC 3) C2 CC OCC 3) C2 CC OCC 3) C2 CC OCC 3) c2 )CC 1 =C 2 CC OCC 3) C2 =O) c1 =O .Cl c s2) C(C)C) cs 1 I ] (C) [C@H]3 [C@@H](C) C(=O) CO C( C [C@@H]3 [C@@H](C) C C(=O)O C2 CC OCC 3) C2 =O) c1 F) c(- c2cc c3 2 C(=O) CO
OS(C)(=O) =O .Cl 1) [C@H]1 O c3ccc( [C@@H]1 c1 =O .Cl c( C2 =O) CC1 (C) 6 ) ( c6 ccc( Cl) cc 6 Cl) O 1 OC(=O) C( CC(=O)O) C(=O)O ( c6 ccc( F) (=O) [O-] = CC(=O) C=C [C@] 4 CCOC [C@@H] 4C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl 6 ) c1 =O .Cl .Cl .Cl F c(C) =O)C 2 [C@H]1 c1cccc( Cl) O 1 =C . CS(=O)(=O) O 1 .Cl .Cl c4 cc3 4) cc3 4) c(Cl) cn 1 (C) [C@@]3 (F) [C@@H](O) [C@@H]2 C1 =O .Cl .Cl ( c6 ccc( F) [C@H]1 C(=O)O C2 =O) c1 F c2ccccc2 1 =C 2 F c1 =O .Cl = CC(=O) N(C) [C@@H]( C[C@H](O) CN 2 [C@H]1 C(=O)O C2 CC OCC 3) n1 2
[C@@H](O) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 =C )NC(=O) OC c2cn c( n2) cn 1 CC [C@@H]3O [C@H] 6 ) CC [C@@H]1 2) CC =C . CS(=O)(=O) O 1 . O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) CC(=O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl c2) cn 1 .Cl F Br) cnc1 N) c1 F) N [C@@H](C) c4 ncc( Br) c4 ncc( (C) (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@H]( [C@@H]1 c4) n c32) CC1 CC1 (C) CC(=O) N(C) [C@@H]( CCCC c1 =O .Cl 3) cc2) CC1 ( - c1ccc( F) [C@H]1 c s2) C(C)C) cs 1 CCCC1 =O .Cl Cc1cccc( [C@@H]3O [C@H] 6 Cl) O 1 .Cl 3 )CC 1 .Cl c4 cc( Cl) c1 F) C5 ) C(=O)O) [C@@]1
OS(C)(=O) =O .Cl .Cl .Cl .Cl c12 .O=C( O)C [C@H](O) [C@@H](C) C(=O) C(C)(C)[C@@H](O) CC(=O)O 1 I ] ) ( C(=O)O C2 CC =C 2 C(=O) C(C)(C)[C@@H](O) CC(=O)O 1 . CS(=O)(=O) O 1 .Cl [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) (N) ( - 1 .Cl .Cl s2) NC(=O)C c3ccccn3) s2) c s2) C(C)C) c5 cccc 1C 1 .Cl ) c2cc [nH] 1 I ] (C) (N) ( c2ccc( Cl) c1 Cl) O C2 CC [C@H](O) C(=O)O C2 CC OCC 1 I ] (C) (C)C) cccc3 C [C@]2(C) [C@@]1 (O) C(=O) CO C( C [C@@H]3 c3 c(- c1cccc( Cl) c1 F) c2cn c s2) C(C)C) C(=O)O 4 3 )CC 1 .Cl c3ccc(
